source,target,tgt_lng
Gene,Gene,
Margueritte,Margueritte,
Reid,Reid,
Parker,Parker,
Grant,Grant,
Enterprise Technology Leadership,企业技术领导力,
scenius,scenius,
Steve,Steve,
Linh,Linh,
Kitchen Brigade,厨房团队,
Vibe Coded,Vibe编码,
Red Ball,红球,
Claude,Claude,
Cube,立方体,
Colored Lighting,彩色照明,
Gemini,Gemini,
Number of Photographs Taken Annually,每年拍摄的照片数量,
Vibe Coding,Vibe编码,
Vibe Coding Loop,Vibe编码循环,
AI Model,AI模型,
Context Window,上下文窗口,
Large Project Task Graph,大型项目任务图,
Leaf Nodes,叶子节点,
Ruby Admin Script,Ruby管理员脚本,
MCP-Enabled System,MCP启用系统,
Traditional Developer Loop,传统开发者循环,
Free Developer Loop,自由开发者循环,
Timescales,时间尺度,
Code Survival Graphs,代码生存图,
Clojure,Clojure,
Linux,Linux,
Scala,Scala,
Vibe Coding Testing Strategies,Vibe编码测试策略,
Parallelizing Kitchen Work,并行化厨房工作,
Task Graph,任务图,
DARIO AMODEI,DARIO AMODEI,
CEO,首席执行官,
COFOUNDER,联合创始人,
ANTHROPIC,ANTHROPIC,
AI,人工智能,
2025,2025,
coding agents,编码代理,
Claude Code,Claude Code,
software engineering,软件工程,
cognitive tasks,认知任务,
software development,软件开发,
leading,领先的,
labor market,劳动力市场,
AI models,AI模型,
societal blockers,社会阻碍因素,
misaligned actions,不一致的行为,
AI safety,AI安全,
software-building LLM agents,构建软件的LLM代理,
Steve’s post,Steve的帖子,
Junior Developer,初级开发者,
work-deferral trap,工作拖延陷阱,
6 months,6个月,
traffic dies down,交通高峰时段过去,
exponential,指数的,
July,七月,
software,软件,
1990s,1990年代,
FAANGs,FAANGs,
Facebook,Facebook,
Amazon,亚马逊,
Apple,苹果,
Netflix,Netflix,
Google,谷歌,
AI coding agent,AI编码代理,
browser automation tool,浏览器自动化工具,
UI bugs,UI错误,
March 2025,2025年3月,
TODOs,待办事项,
work streams,工作流程,
"high-quality, well-tested code",高质量、经过良好测试的代码,
game bugs,游戏错误,
programming career,编程生涯,
technology hype,技术炒作,
Gene’s Aha Moment,Gene 的顿悟时刻,
February 2024,2024年2月,
ChatGPT,ChatGPT,
Java graphics libraries,Java 图形库,
first try,第一次尝试,
forty-seven-minute pair programming session,47分钟结对编程会议,
video excerpting tool,视频剪辑工具,
months,几个月,
weekend tasks,周末任务,
technical overhead,技术负担,
software development world,软件开发世界,
hard data,硬数据,
concrete examples,具体实例,
Part 1,第一部分,
development workflow,开发流程,
"inner, middle, and outer developer loops",内部、中间和外部开发者循环,
scaling up,扩展规模,
reshaping the organizations of the future,重塑未来的组织,
exponential change,指数级变化,
chat-based coding,基于聊天的编码,
autonomous agents,自主代理,
coordinating groups of agents,协调代理群体,
experienced engineer,经验丰富的工程师,
novice,新手,
manufacturing,制造业,
productivity,生产力,
software work,软件开发,
new risks and dangers,新的风险和危险,
your job,你的工作,
life’s biggest stressors,生活中最大的压力,
learning curve,学习曲线,
work/life balance,工作/生活平衡,
bottleneck,瓶颈,
coding,编码,
soware,软件,
the future of coding,编码的未来,
Dr. Erik Meijer,埃里克·梅耶尔博士,
Dutch,荷兰,
programming language development,编程语言开发,
Visual Basic,Visual Basic,
Haskell,Haskell,
LINQ,LINQ,
Hack,Hack,
language design,语言设计,
implementation,实现,
2024,2024,
Happy Time,快乐时光,
Stack Overflow,Stack Overflow,
Dr. Andrej Karpathy,安德烈·卡帕西博士,
AI research,人工智能研究,
software lifecycle,软件生命周期,
code generation,代码生成,
architecture,架构,
features,功能,
security,安全性,
vision,愿景,
verification,验证,
manual coding,手动编码,
traditional coding,传统编码,
pre-AI style,AI前风格,
code completions,代码补全,
IDE,集成开发环境,
GitHub Copilot,GitHub Copilot,
Dr. Eirini Kalliamvakou,Eirini Kalliamvakou 博士,
coding tasks,编码任务,
labor-intensive,劳动密集型,
Chat coding,Chat 编码,
code examination,代码审查,
code modification,代码修改,
tooling,工具,
OpenAI,OpenAI,
ChatGPT-4o,ChatGPT-4o,
Agentic coding,代理编码,
real developers,真实开发者,
2021,2021年,
2023,2023年,
2026,2026年,
Cognition AI,认知AI,
Devin,Devin,
March 2024.8,2024年3月8日,
terminal application,终端应用程序,
min utilities,最小化工具,
development life cycle,开发生命周期,
development today,当今开发,
AI and coding assistants,AI和编码助手,
